,Text,User,Date,Favs,Retweets,Replies
75,"आज यूपी में सुरक्षा भी है, अधिकार भी हैं।

आज यूपी में संभावनाएं भी हैं, व्यापार भी है। https://t.co/E3gEfqSmFF",narendramodi,2021-12-21 11:54:06+00:00,21406,5184,1190
76,डबल इंजन की सरकार बिना किसी भेदभाव और पक्षपात के बेटियों के भविष्य को सशक्त करने के लिए निरंतर काम कर रही है। इसीलिए बेटियों की शादी की उम्र को 18 साल से बढ़ाकर 21 साल करने का प्रयास किया जा रहा है। https://t.co/SleBtfY8AV,narendramodi,2021-12-21 11:53:55+00:00,16201,4240,697
77,"महिला स्वयं सहायता समूह की बहनों को मैं आत्मनिर्भर भारत अभियान की चैंपियन मानता हूं। इनके स्वयं सहायता समूह, असल में राष्ट्र सहायता समूह हैं। https://t.co/VymMa7fEaB",narendramodi,2021-12-21 11:53:44+00:00,13116,3707,393
78,"संपत्ति के अधिकार को लेकर जो असमानताएं थीं, उन्हें हमारी सरकार की योजनाएं कैसे दूर कर रही हैं, इसका सबसे बड़ा उदाहरण है- प्रधानमंत्री आवास योजना।

इस योजना के तहत ही पहली बार यूपी में 25 लाख महिलाओं के नाम उनका घर हुआ है। यही तो होता है सशक्तिकरण, यही तो होता है विकास! https://t.co/ArVt5h9p3h",narendramodi,2021-12-21 11:53:35+00:00,11388,3447,334
79,"2014 में जब हमने मां भारती के बड़े सपनों को साकार करने का बीड़ा उठाया, तो सबसे पहले देश की बेटी के विश्वास को नई ऊर्जा देने का प्रयास शुरू किया। 

‘बेटी बचाओ, बेटी पढ़ाओ’ अभियान से समाज की चेतना को जगाने का आज परिणाम ये है कि अनेक राज्यों में बेटियों की संख्या में वृद्धि हुई है। https://t.co/GZPnFlCHHp",narendramodi,2021-12-21 11:53:23+00:00,9785,3041,295
80,Addressing a programme in Prayagraj. #NariShaktiDeshKiShakti https://t.co/2njX6mz9zB,narendramodi,2021-12-21 08:36:07+00:00,20041,5317,869
81,Greetings to AP CM Shri @ysjagan Garu on his birthday. May Almighty bless him with a long and healthy life.,narendramodi,2021-12-21 03:10:44+00:00,36138,4911,867
82,Interacted with leading CEO’s from different sectors. We discussed various aspects relating to the economy. The CEOs shared insightful suggestions for the upcoming Budget. I spoke about India’s reform trajectory over the last few years. https://t.co/nlRiPXC4Z4,narendramodi,2021-12-20 16:13:35+00:00,15686,3294,477
83,"बच्चों के लिए यह न केवल दिलचस्प कार्यक्रम होगा, बल्कि इससे वे खेलकूद के साथ ही जीवन में आगे बढ़ने के लिए प्रेरित होंगे। @BajrangPunia जी आपका यह प्रयास पोषण को लेकर भी उनके बीच एक नई जागरूकता पैदा करेगा। https://t.co/F4r9FUmftE",narendramodi,2021-12-20 14:47:46+00:00,16327,3389,306
84,"Money would be transferred to over 1 lakh beneficiaries of the Mukhya Mantri Kanya Sumangala Scheme, which provides assistance to the girl child during different stages of her life. The foundation stone of 202 Supplementary Nutrition Manufacturing Units will also be laid.",narendramodi,2021-12-20 14:47:00+00:00,7524,2061,145
85,"At the programme in Prayagraj tomorrow, Rs. 1000 crore would be transferred in the bank accounts of various Self Help Groups. Over 16 lakh women associated with these groups will gain from this. I am proud of the Centre and UP Government’s constant efforts to strengthen SHGs.",narendramodi,2021-12-20 14:46:59+00:00,8249,2186,155
